Altium Designer Pick and Place Locations
C:\Robocon\Project\Blazer_FOC\1_Hardware\Controller\V2.0\Project Outputs for ControllerV2.0\Pick Place for ControllerV2.0.csv

========================================================================================================================
File Design Information:

Date:       22/04/24
Time:       11:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"USB1","TYPE-C 16PIN","BottomLayer","USB-C-SMD_TYPE-C-6PIN-2MD-073","362.874","205.000","180"
"R23","22R","BottomLayer","0603R","1550.000","1185.787","0"
"R22","22R","BottomLayer","0603R","1550.000","1284.213","0"
"R21","22R","BottomLayer","0603R","1550.000","1382.638","0"
"C29","2.2uf","BottomLayer","0603C","395.000","1470.000","180"
"Q2","FDN335N","BottomLayer","SOT-23-3","1113.740","1026.883","270"
"J2","BTB-2X6-F","BottomLayer","BTB-F-0.8mm-2x6P","1858.228","550.000","0"
"J1","BTB-2X6-F","BottomLayer","BTB-F-0.8mm-2x6P","188.740","550.000","0"
"XH1","XH2.54-WS-2P","BottomLayer","XH2.54-WS-2P","385.000","1749.272","0"
"XH2","GH1.25-WS-4P","BottomLayer","GH1.25-WS-4P","1582.480","1845.000","0"
"XH3","XH2.54-WS-5P","BottomLayer","XH2.54-WS-5P","215.098","1185.000","90"
"XH4","XH2.54-WS-6P","BottomLayer","XH2.54-WS-6P","1832.382","1235.000","270"
"X1","-","BottomLayer","OSC_3225-4P","1720.000","760.000","270"
"U4","RT9013-33GB","BottomLayer","SOT-23-5","1328.740","200.000","90"
"U1","STM32F405RGT6","BottomLayer","LQFP_64","1314.724","622.835","180"
"U3","AMS1117-3.3_C347256","TopLayer","SOT-89","837.135","569.055","180"
"U2","TPS5450DDAR","BottomLayer","SOP-8-EP","873.740","220.000","270"
"U8","MT3608L","BottomLayer","SOT-23-6","1325.000","1200.000","90"
"U5","FD6288Q","BottomLayer","QFN-24-EP(4x4)","502.950","640.100","180"
"U7","CH340N","TopLayer","SOP-8","362.874","180.000","180"
"U6","SN65HVD230D","BottomLayer","SOP-8","595.000","1490.000","180"
"SW1","TS-1187A-B-A-B","BottomLayer","TSW_SMD-4*4*1.5","1703.740","165.000","270"
"SW2","TS-1187A-B-A-B","TopLayer","TSW_SMD-4*4*1.5","1673.740","1045.000","0"
"SW3","TS-1187A-B-A-B","TopLayer","TSW_SMD-4*4*1.5","1673.740","790.000","0"
"R11","NC","TopLayer","0603R","385.621","1579.049","0"
"R5","10k","TopLayer","0603R","1338.740","545.000","90"
