Altium Designer Pick and Place Locations
C:\Robocon\Project\Blazer_FOC\1_Hardware\Driver\V2.0\Project Outputs for DriverV2.0\Pick Place for DriverV2.0.csv

========================================================================================================================
File Design Information:

Date:       24/02/24
Time:       10:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"R11","1mR","TopLayer","3637R","1347.642","446.100","90"
"R10","1mR","TopLayer","3637R","920.000","446.100","90"
"R9","1mR","TopLayer","3637R","497.474","446.100","90"
"R17","10k","BottomLayer","0603R","1262.795","1195.000","270"
"R16","10k","BottomLayer","0603R","783.583","1195.000","270"
"R15","10k","BottomLayer","0603R","300.000","1195.000","270"
"R5","10k","TopLayer","0603R","410.000","710.000","180"
"C25","10uf","BottomLayer","1206C","1022.210","1715.000","0"
"J5","BTB-2X6-M","TopLayer","BTB-M-0.8mm-2x6P","1859.370","549.842","0"
"J7","Pad","TopLayer","PAD","1160.000","1845.000","0"
"J6","Pad","TopLayer","PAD","885.000","1845.000","0"
"J3","Pad","TopLayer","PAD","1385.000","115.000","0"
"J2","Pad","TopLayer","PAD","1022.430","115.000","0"
"J1","Pad","TopLayer","PAD","660.000","115.000","0"
"C24","10uf","BottomLayer","1206C","654.370","1835.000","180"
"C23","10uf","BottomLayer","1206C","654.370","1745.000","180"
"C39","10uf","BottomLayer","1206C","1604.370","1475.000","0"
"C38","10uf","BottomLayer","1206C","1604.370","1385.000","0"
"C22","10uf","BottomLayer","1206C","654.370","1655.000","180"
"C21","10uf","BottomLayer","1206C","1604.370","1655.000","0"
"C20","10uf","BottomLayer","1206C","1394.370","1745.000","180"
"C19","10uf","BottomLayer","1206C","1394.370","1655.000","180"
"C18","10uf","BottomLayer","1206C","1394.370","1565.000","180"
"C17","10uf","BottomLayer","1206C","1394.370","1475.000","180"
"C16","10uf","BottomLayer","1206C","1394.370","1385.000","180"
"C37","10uf","BottomLayer","1206C","1604.370","1562.500","0"
"C15","10uf","BottomLayer","1206C","1604.370","1745.000","0"
"J4","BTB-2X6-M","TopLayer","BTB-M-0.8mm-2x6P","189.370","549.842","0"
"R18","0R","BottomLayer","0603R","1959.370","815.000","270"
"U2","INA240A1PWR","BottomLayer","TSSOP-8","1020.398","446.181","90"
"U3","INA240A1PWR","BottomLayer","TSSOP-8","1448.035","446.181","90"
"U1","INA240A1PWR","BottomLayer","TSSOP-8","596.732","446.181","90"
"R3","2.2R","TopLayer","0603R","1262.795","800.000","90"
"R4","NTC 10k","TopLayer","0805R","1755.000","830.000","270"
"R13","2.2R","BottomLayer","0603R","783.583","1071.890","90"
"R14","2.2R","BottomLayer","0603R","1262.795","1071.890","90"
"R6","10k","TopLayer","0603R","888.526","710.000","180"
"R2","2.2R","TopLayer","0603R","783.583","800.000","90"
"R7","10k","TopLayer","0603R","1369.190","710.000","180"
"R12","2.2R","BottomLayer","0603R","299.370","1071.890","90"
"R1","2.2R","TopLayer","0603R","299.370","800.000","90"
"R8","3.3k","BottomLayer","0603R","1864.370","785.000","180"
"Q5","HYG006N04LS1TA","BottomLayer","TOLL","1023.307","1058.700","0"
"Q3","HYG006N04LS1TA","TopLayer","TOLL","1504.055","931.140","0"
"Q4","HYG006N04LS1TA","BottomLayer","TOLL","544.365","1058.700","0"
"Q6","HYG006N04LS1TA","BottomLayer","TOLL","1504.370","1058.700","0"
"Q2","HYG006N04LS1TA","TopLayer","TOLL","1023.391","931.140","0"
"Q1","HYG006N04LS1TA","TopLayer","TOLL","544.175","931.140","0"
"C4","0.1uf","BottomLayer","0603C","1448.340","550.850","0"
"C2","0.1uf","BottomLayer","0603C","597.037","550.850","0"
"C11","10uf","BottomLayer","1206C","1022.210","1395.000","0"
"C5","10uf","TopLayer","1206C","1604.370","1745.000","0"
"C30","10uf","TopLayer","1206C","1394.370","1655.000","180"
"C10","10uf","BottomLayer","1206C","1022.210","1482.874","0"
"C3","0.1uf","BottomLayer","0603C","1020.703","550.850","0"
"C8","10uf","TopLayer","1206C","479.370","1440.000","90"
"C6","10uf","TopLayer","1206C","659.370","1440.000","90"
"C26","220uf","TopLayer","ELECTRO10-5-N","1022.202","1545.000","0"
"C33","10uf","TopLayer","1206C","1394.370","1745.000","180"
"C32","10uf","BottomLayer","1206C","1022.210","1625.000","0"
"C29","10uf","TopLayer","1206C","1604.370","1385.000","0"
"C12","10uf","TopLayer","1206C","1394.370","1385.000","180"
"C28","10uf","TopLayer","1206C","1604.370","1475.000","0"
"C34","10uf","TopLayer","1206C","654.370","1835.000","180"
"C35","10uf","TopLayer","1206C","654.370","1745.000","180"
"C36","10uf","TopLayer","1206C","654.370","1655.000","180"
"C7","10uf","TopLayer","1206C","569.370","1440.000","90"
"C1","2.2uf","BottomLayer","0603C","1863.760","870.000","0"
"C31","10uf","TopLayer","1206C","1604.370","1655.000","0"
"C13","10uf","TopLayer","1206C","1394.370","1475.000","180"
"C14","10uf","TopLayer","1206C","1394.370","1565.000","180"
"C9","10uf","TopLayer","1206C","389.370","1440.000","90"
"C27","10uf","TopLayer","1206C","1604.370","1565.000","0"
